,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,arkk,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (e.g. NASDAQ, NYSE)",,,,
,,,,,,
,ARK Innovation ETF,,,,,
,,,,,,
,Current price,,Change,% change,,
,117.75,,-1.91,-1.60%,,
,,,,,,
,,,,,,
,Market cap,P/E ratio,Beta,,,
,-,-,-,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,arkk,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Oct 23, 2020",99.12,99.18,97.41,99.18,"1,875,291"
,"Oct 26, 2020",98.16,99.84,95.86,97.20,"2,342,242"
,"Oct 27, 2020",97.84,98.99,97.64,98.63,"1,410,243"
,"Oct 28, 2020",96.31,96.37,94.35,94.75,"2,518,866"
,"Oct 29, 2020",95.60,96.46,94.93,95.99,"2,078,498"
,"Oct 30, 2020",95.00,95.15,89.95,90.79,"4,217,091"
,"Nov 2, 2020",91.97,92.52,89.39,90.80,"3,886,154"
,"Nov 3, 2020",92.22,93.78,90.95,93.16,"2,810,288"
,"Nov 4, 2020",95.93,98.32,95.22,97.51,"4,374,738"
,"Nov 5, 2020",100.73,100.98,99.21,100.82,"4,254,406"
,"Nov 6, 2020",101.15,102.63,99.61,102.08,"3,238,643"
,"Nov 9, 2020",105.00,105.50,97.38,97.43,"4,653,959"
,"Nov 10, 2020",97.26,97.62,91.80,94.76,"4,419,827"
,"Nov 11, 2020",96.79,98.78,96.01,98.73,"4,150,740"
,"Nov 12, 2020",99.60,100.40,98.32,98.89,"2,493,790"
,"Nov 13, 2020",99.95,100.68,98.70,99.40,"1,832,876"
,"Nov 16, 2020",99.65,99.99,98.20,99.54,"2,056,884"
,"Nov 17, 2020",100.65,101.25,99.64,101.23,"2,460,751"
,"Nov 18, 2020",101.50,102.42,100.56,101.02,"2,449,509"
,"Nov 19, 2020",101.24,103.87,101.24,103.26,"2,270,235"
,"Nov 20, 2020",103.79,105.50,103.17,104.90,"2,013,108"
,"Nov 23, 2020",106.27,108.28,105.60,107.42,"3,730,244"
,"Nov 24, 2020",109.08,109.39,105.91,106.14,"3,089,388"
,"Nov 25, 2020",106.41,108.54,105.92,108.48,"2,135,858"
,"Nov 27, 2020",109.85,111.83,109.09,111.78,"1,909,489"
,"Nov 30, 2020",113.66,113.76,108.80,112.37,"3,235,662"
,"Dec 1, 2020",114.00,114.20,112.14,112.76,"3,069,313"
,"Dec 2, 2020",111.46,112.47,109.60,112.34,"2,473,274"
,"Dec 3, 2020",113.52,115.55,112.95,114.28,"2,962,432"
,"Dec 4, 2020",115.84,117.36,114.76,117.19,"3,384,408"
,"Dec 7, 2020",119.01,122.02,118.28,120.68,"4,445,128"
,"Dec 8, 2020",121.27,122.91,120.15,122.17,"4,349,588"
,"Dec 9, 2020",123.88,125.53,118.76,119.98,"7,841,698"
,"Dec 10, 2020",117.75,125.32,117.72,125.20,"5,094,458"
,"Dec 11, 2020",124.94,125.84,121.68,123.87,"5,271,138"
,"Dec 14, 2020",126.09,127.65,124.20,124.25,"4,670,451"
,"Dec 15, 2020",126.45,126.45,123.24,124.30,"4,390,551"
,"Dec 16, 2020",124.70,125.13,122.52,123.95,"3,231,593"
,"Dec 17, 2020",125.34,126.54,124.79,126.07,"3,860,680"
,"Dec 18, 2020",127.57,128.20,125.94,127.30,"4,205,140"
,"Dec 21, 2020",126.97,133.01,126.25,131.34,"6,958,920"
,"Dec 22, 2020",134.40,135.73,132.67,135.05,"7,465,764"
,"Dec 23, 2020",137.02,137.08,132.81,134.96,"7,202,886"
,"Dec 24, 2020",135.64,136.08,132.42,133.03,"4,038,272"
,"Dec 28, 2020",135.55,135.85,129.72,129.80,"9,479,834"
,"Dec 29, 2020",128.53,128.69,120.81,124.32,"10,938,423"
,"Dec 30, 2020",125.78,127.55,125.56,127.10,"5,106,311"
,"Dec 31, 2020",127.72,127.74,123.97,124.49,"5,444,844"
,"Jan 4, 2021",126.22,127.19,122.44,124.69,"8,314,433"
,"Jan 5, 2021",124.38,127.84,124.08,127.76,"5,362,219"
,"Jan 6, 2021",126.69,131.15,125.85,128.23,"6,847,549"
,"Jan 7, 2021",131.16,138.62,131.13,138.38,"8,145,072"
,"Jan 8, 2021",142.03,145.64,139.29,142.48,"12,830,291"
,"Jan 11, 2021",140.25,140.63,136.80,138.22,"8,217,794"
,"Jan 12, 2021",140.18,141.66,139.04,140.99,"6,045,303"
,"Jan 13, 2021",141.93,143.50,140.50,141.72,"5,182,132"
,"Jan 14, 2021",143.36,147.45,142.78,145.28,"7,691,086"
,"Jan 15, 2021",146.87,148.01,141.68,141.91,"9,489,447"
,"Jan 19, 2021",145.36,146.22,144.11,146.13,"7,212,007"
,"Jan 20, 2021",148.95,149.80,146.71,147.11,"7,964,428"
,"Jan 21, 2021",148.42,148.42,144.54,144.81,"7,291,688"
,"Jan 22, 2021",144.10,146.17,143.89,146.08,"5,714,757"
,"Jan 25, 2021",148.56,149.85,142.93,146.67,"8,570,832"
,"Jan 26, 2021",147.25,147.34,141.72,141.83,"8,106,443"
,"Jan 27, 2021",139.06,142.50,135.17,138.35,"10,003,893"
,"Jan 28, 2021",138.57,141.84,138.14,140.37,"5,865,365"
,"Jan 29, 2021",139.86,141.18,135.05,137.44,"7,195,518"
,"Feb 1, 2021",139.98,142.80,138.41,142.62,"7,828,499"
