Date,Open,High,Low,Close,Volume
"Oct 23, 2020",15.05,15.38,14.55,15,"6,507,324"
"Oct 26, 2020",14.93,15.45,13.26,13.45,"13,376,269"
"Oct 27, 2020",13.71,13.71,12.36,12.69,"7,231,006"
"Oct 28, 2020",12.27,13.05,11.78,11.82,"6,388,580"
"Oct 29, 2020",11.88,12.25,11.68,11.73,"4,165,843"
"Oct 30, 2020",11.64,11.64,10.36,10.47,"11,562,367"
"Nov 2, 2020",10.82,11.09,10.5,10.75,"5,227,011"
"Nov 3, 2020",10.75,11.86,10.63,11.57,"7,454,472"
"Nov 4, 2020",11.76,11.77,10.61,10.91,"5,807,871"
"Nov 5, 2020",11.27,11.84,11.06,11.45,"4,705,245"
"Nov 6, 2020",11.52,12.17,11.32,11.86,"5,518,243"
"Nov 9, 2020",12.76,12.93,11.25,11.49,"6,244,865"
"Nov 10, 2020",11.5,11.66,10.83,11.1,"3,825,963"
"Nov 11, 2020",11.5,11.95,11.21,11.75,"4,882,569"
"Nov 12, 2020",11.74,11.87,10.97,11.13,"4,355,892"
"Nov 13, 2020",11.36,11.55,11,11.01,"3,546,171"
"Nov 16, 2020",11.16,12.66,10.72,12.06,"9,774,824"
"Nov 17, 2020",11.65,11.92,11.23,11.63,"6,678,176"
"Nov 18, 2020",11.8,12.04,11.56,11.57,"3,169,222"
"Nov 19, 2020",11.6,12.79,11.45,12.46,"11,787,613"
"Nov 20, 2020",12.55,13.46,12.54,12.71,"8,402,347"
"Nov 23, 2020",12.9,14.12,12.67,13.9,"9,607,973"
"Nov 24, 2020",14.23,14.26,13.3,13.67,"7,186,710"
"Nov 25, 2020",13.6,15.25,13.42,14.75,"8,860,092"
"Nov 27, 2020",15.29,16.74,14.88,16.08,"12,504,197"
"Nov 30, 2020",18.17,19.42,16.56,16.56,"31,983,498"
"Dec 1, 2020",17.11,17.4,15.76,15.8,"12,666,027"
"Dec 2, 2020",15.7,16.68,15.38,16.58,"7,883,380"
"Dec 3, 2020",16.48,16.64,15.87,16.12,"6,294,965"
"Dec 4, 2020",16.3,17.29,16.26,16.9,"8,972,672"
"Dec 7, 2020",17,17.5,16.22,16.35,"7,386,258"
"Dec 8, 2020",16.37,17.21,15.93,16.94,"16,120,163"
"Dec 9, 2020",13.92,14.73,13.23,13.66,"24,357,944"
"Dec 10, 2020",13.12,14.41,13.05,14.12,"7,558,922"
"Dec 11, 2020",13.91,14,13.02,13.31,"7,496,868"
"Dec 14, 2020",13.34,13.43,12.14,12.72,"10,007,092"
"Dec 15, 2020",12.78,14.02,12.48,13.85,"8,192,856"
"Dec 16, 2020",13.96,14.31,13.58,13.85,"5,865,123"
"Dec 17, 2020",13.96,14.98,13.59,14.83,"8,194,902"
"Dec 18, 2020",15.78,16.3,15.18,15.63,"16,618,776"
"Dec 21, 2020",15.81,16.35,15.28,15.53,"9,876,128"
"Dec 22, 2020",16.22,20.04,16.15,19.46,"30,687,718"
"Dec 23, 2020",20.17,22.35,19.13,20.57,"25,830,256"
"Dec 24, 2020",21.01,21.48,19.95,20.15,"6,262,174"
"Dec 28, 2020",21.31,21.97,20.35,20.99,"8,965,858"
"Dec 29, 2020",20.82,21.07,18.56,19.38,"9,241,441"
"Dec 30, 2020",19.38,20,18.85,19.26,"5,934,391"
"Dec 31, 2020",19.25,19.8,18.8,18.84,"6,922,652"
"Jan 4, 2021",19,19.1,17.15,17.25,"10,022,474"
"Jan 5, 2021",17.35,18.08,17.23,17.37,"4,961,457"
"Jan 6, 2021",17.34,18.98,17.33,18.36,"6,056,248"
"Jan 7, 2021",18.47,19.45,18.02,18.08,"6,129,276"
"Jan 8, 2021",18.18,18.3,17.08,17.69,"6,481,960"
"Jan 11, 2021",19.41,20.65,19.01,19.94,"14,927,612"
"Jan 12, 2021",19.96,20.4,19.32,19.95,"7,060,665"
"Jan 13, 2021",20.42,38.65,20.03,31.4,"144,501,736"
"Jan 14, 2021",38.09,43.06,33.05,39.91,"93,717,410"
"Jan 15, 2021",38.49,40.75,34.01,35.5,"46,866,358"
"Jan 19, 2021",41.55,45.52,36.64,39.36,"74,721,924"
"Jan 20, 2021",37.37,41.19,36.06,39.12,"33,471,789"
"Jan 21, 2021",39.23,44.75,37,43.03,"57,079,754"
"Jan 22, 2021",42.59,76.76,42.32,65.01,"197,157,946"
"Jan 25, 2021",96.73,159.18,61.13,76.79,"177,874,000"
"Jan 26, 2021",88.56,150,80.2,147.98,"178,587,974"
"Jan 27, 2021",354.83,380,249,347.51,"93,396,666"
"Jan 28, 2021",265,483,112.25,193.6,"58,815,805"
"Jan 29, 2021",379.71,413.98,250,325,"50,566,055"
"Feb 1, 2021",316.56,322,212,225,"37,382,152"
"Feb 2, 2021",140.76,158,74.22,90,"78,183,071"
"Feb 3, 2021",112.01,113.4,85.25,92.41,"42,698,511"
"Feb 4, 2021",91.19,91.5,53.33,53.5,"62,427,275"
"Feb 5, 2021",54.04,95,51.09,63.77,"81,345,013"
"Feb 8, 2021",72.41,72.66,58.02,60,"25,687,282"
"Feb 9, 2021",56.61,57,46.52,50.31,"26,843,082"
"Feb 10, 2021",50.77,62.83,46.55,51.2,"36,455,036"
"Feb 11, 2021",50.01,55.32,48.22,51.1,"13,056,725"
"Feb 12, 2021",50.75,55.24,48.05,52.4,"14,573,264"
"Feb 16, 2021",52.66,53.5,49.04,49.51,"8,175,030"
"Feb 17, 2021",49.77,51.19,44.56,45.94,"9,260,795"
"Feb 18, 2021",48.49,48.87,40.65,40.69,"23,990,555"
"Feb 19, 2021",41.28,43.89,38.5,40.59,"14,828,238"
"Feb 22, 2021",46.69,48.51,42.4,46,"19,476,021"
"Feb 23, 2021",44.97,46.23,40,44.97,"7,565,215"
"Feb 24, 2021",44.7,91.71,44.7,91.71,"83,111,740"
"Feb 25, 2021",169.56,184.68,101,108.73,"150,308,766"
"Feb 26, 2021",117.46,142.9,86,101.74,"92,194,154"
"Mar 1, 2021",104.54,133.99,99.97,120.4,"49,793,965"
"Mar 2, 2021",116.93,133.2,112.2,118.18,"33,783,044"
"Mar 3, 2021",122.51,127.75,113.12,124.18,"19,273,882"
"Mar 4, 2021",125,147.87,115.3,132.35,"32,606,893"
"Mar 5, 2021",128.17,151.53,127.5,137.74,"30,733,673"
"Mar 8, 2021",154.89,210.87,146.1,194.5,"63,565,620"
"Mar 9, 2021",217.71,249.85,208.51,246.9,"39,099,331"
"Mar 10, 2021",269.43,348.5,172,265,"71,570,566"
"Mar 11, 2021",241.64,281.5,232.6,260,"28,312,493"
"Mar 12, 2021",275,295.5,262.27,264.5,"25,845,899"
"Mar 15, 2021",277.52,283,206,220.14,"24,226,187"
"Mar 16, 2021",203.16,220.7,172.35,208.17,"35,422,867"
"Mar 17, 2021",217.84,231.47,204,209.81,"16,481,589"
"Mar 18, 2021",214,218.88,195.65,201.75,"11,799,914"
