Date,Open,High,Low,Close,Volume
"Oct 23, 2020",10.2,10.25,10.08,10.2,"2,620,646"
"Oct 26, 2020",10.11,10.21,10.02,10.1,"2,814,498"
"Oct 27, 2020",10.06,10.15,10.06,10.08,"1,278,203"
"Oct 28, 2020",10,10.05,9.91,9.99,"3,894,578"
"Oct 29, 2020",9.98,9.99,9.94,9.98,"4,225,920"
"Oct 30, 2020",9.9,10.04,9.87,10.02,"2,344,515"
"Nov 2, 2020",9.95,9.99,9.92,9.98,"832,634"
"Nov 3, 2020",9.97,10,9.94,9.99,"680,177"
"Nov 4, 2020",9.97,10.11,9.97,10.06,"998,855"
"Nov 5, 2020",10.05,10.14,10,10.08,"762,858"
"Nov 6, 2020",10.02,10.1,9.98,10.03,"1,112,654"
"Nov 9, 2020",10.04,10.18,9.99,10.03,"896,765"
"Nov 10, 2020",9.96,10.04,9.95,9.98,"2,134,249"
"Nov 11, 2020",9.95,9.99,9.94,9.95,"1,168,251"
"Nov 12, 2020",9.96,9.98,9.92,9.94,"749,605"
"Nov 13, 2020",9.92,10,9.91,9.97,"1,905,220"
"Nov 16, 2020",10.07,10.08,9.97,9.99,"833,254"
"Nov 17, 2020",10.04,10.05,9.97,10,"677,667"
"Nov 18, 2020",10.01,10.03,9.96,9.98,"756,963"
"Nov 19, 2020",10,10.01,9.96,9.99,"924,954"
"Nov 20, 2020",10,10.17,9.97,10.04,"3,836,554"
"Nov 23, 2020",10.06,10.06,9.96,10.01,"1,918,044"
"Nov 24, 2020",10.02,10.03,9.98,10.01,"4,509,386"
"Nov 25, 2020",10.03,10.35,10.01,10.29,"5,184,001"
"Nov 27, 2020",10.32,10.5,10.26,10.27,"3,456,671"
"Nov 30, 2020",10.44,10.48,10.22,10.39,"3,171,200"
"Dec 1, 2020",10.41,10.41,10.22,10.26,"2,110,394"
"Dec 2, 2020",10.25,10.35,10.15,10.25,"1,223,873"
"Dec 3, 2020",10.33,10.33,10.21,10.25,"1,347,210"
"Dec 4, 2020",10.3,10.74,10.23,10.51,"7,121,405"
"Dec 7, 2020",10.74,11.04,10.56,10.94,"17,597,005"
"Dec 8, 2020",11.45,11.5,11.05,11.18,"19,322,398"
"Dec 9, 2020",11.47,11.76,10.85,11.27,"14,610,268"
"Dec 10, 2020",11.42,11.8,11.27,11.5,"10,395,583"
"Dec 11, 2020",11.52,11.67,11.07,11.36,"6,535,784"
"Dec 14, 2020",11.55,11.55,11.12,11.23,"7,926,299"
