,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
"Oct 23, 2020",183.27,184.97,181.19,184.3,"120,388"
"Oct 26, 2020",184.48,187,172.53,175,"168,813"
"Oct 27, 2020",176.03,179,172.53,175.58,"170,670"
"Oct 28, 2020",180,182.45,161.6,162.15,"387,373"
"Oct 29, 2020",162.39,167.07,161.73,161.96,"183,667"
"Oct 30, 2020",161.96,167.25,159.54,167.07,"236,074"
"Nov 2, 2020",168.91,169.23,162.5,166.57,"125,655"
"Nov 3, 2020",169.76,172.61,167.78,171.95,"91,004"
"Nov 4, 2020",172.95,178.36,171.44,172.53,"110,354"
"Nov 5, 2020",178.5,183.6,177.85,181.68,"173,155"
"Nov 6, 2020",183.79,186.18,177.5,185.62,"158,496"
"Nov 9, 2020",183.99,187.27,181.74,185.01,"311,078"
"Nov 10, 2020",184.58,189.69,184,186.14,"169,547"
"Nov 11, 2020",188.16,193.22,187.25,192.16,"133,040"
"Nov 12, 2020",195.36,196.08,185.64,186.94,"177,169"
"Nov 13, 2020",188.48,193.91,186.56,192.27,"164,918"
"Nov 16, 2020",194.33,204.37,192.21,203.93,"202,028"
"Nov 17, 2020",204.15,209.68,199.56,208.2,"196,300"
"Nov 18, 2020",211.79,226.85,211.79,212.96,"378,041"
"Nov 19, 2020",212,218.97,209.11,217.11,"143,274"
"Nov 20, 2020",217.42,227,216.2,222.11,"212,054"
"Nov 23, 2020",227,227,214.37,220.76,"201,115"
"Nov 24, 2020",225.7,248.84,222.41,247.23,"1,124,975"
"Nov 25, 2020",254.3,277.22,252.02,270.27,"885,114"
"Nov 27, 2020",255,280,253.51,271.26,"561,902"
"Nov 30, 2020",300.3,347.5,299,342.77,"1,565,014"
"Dec 1, 2020",324,358.94,316.86,324,"799,410"
"Dec 2, 2020",323,330,310.54,321.32,"408,088"
"Dec 3, 2020",327.84,332.79,322.06,331.6,"254,413"
"Dec 4, 2020",326.62,337.21,317.38,328,"296,786"
"Dec 7, 2020",330.07,349.72,325.53,336.22,"353,995"
"Dec 8, 2020",317,318,288.11,289.45,"1,491,236"
"Dec 9, 2020",284.12,291.14,274.09,286.21,"1,324,136"
"Dec 10, 2020",285.17,291.77,282.38,290.33,"505,230"
"Dec 11, 2020",289.95,295.25,279.44,285.92,"375,883"
"Dec 14, 2020",298.93,300,276.38,279.53,"830,579"
"Dec 15, 2020",283.71,289.83,277.39,285.79,"541,028"
"Dec 16, 2020",312.7,315,298,299.12,"1,119,180"
"Dec 17, 2020",321,322.33,293.29,297.8,"1,249,303"
"Dec 18, 2020",295,304,287.17,301.2,"1,323,145"
"Dec 21, 2020",297.63,322,295.02,317.6,"712,907"
"Dec 22, 2020",326.99,335.93,320.37,331.5,"642,177"
"Dec 23, 2020",334.67,343.2,325.16,337.18,"594,057"
"Dec 24, 2020",337,338.83,320.36,322.61,"252,613"
